path,provenance,lifecycle_status,disposition,comparable,comparability_reason,comparison_key,environment,observation_mode,seed,budget_train_steps,eval_every,eval_episodes,eval_metric,git_commit,git_dirty,config_sha256,manifest_run_id,train_step,best_score,best_step,stop_reason,checkpoint_count,checkpoint_bytes,run_bytes,frame_multiplier,frame_semantics
experiments/2026-07-19_cartpole_rssm_continuous_seed0_3500,manifest,completed,keep,True,,5979434ebc179e4b,CartPole-v1,vector,0,3500,100,20,episode_reward,2aeaf81d61e4700832718179220188ddf825e3e0,False,ac95b9790625501c5c8c34ec9fa89cece310e088fbf580c1a395a72f1632a452,6b9856bf77e54c3695317afa0ee9f9db,3500,496.25,3300,max_train_steps,9,156004135,156020296,1,environment steps per recorded action
experiments/2026-07-19_cartpole_rssm_continuous_seed1_3500,manifest,completed,keep,True,,d23013580d217af4,CartPole-v1,vector,1,3500,100,20,episode_reward,2aeaf81d61e4700832718179220188ddf825e3e0,False,1b2054cfc7f840d83733c6e2b52a8bd1a40375f0d5b815d8526f40b5651fbec1,116c690757f044c2a51813b68fc67d3e,3500,500.0,3300,max_train_steps,9,156004135,156020332,1,environment steps per recorded action
experiments/2026-07-19_cartpole_rssm_continuous_seed2_3500,manifest,interrupted,review,False,run did not record completed lifecycle,,CartPole-v1,vector,2,3500,100,20,episode_reward,2aeaf81d61e4700832718179220188ddf825e3e0,False,4167791aafb8c035d4c873afca7a2320297ea5f90c5b9bd13214f9b1a4bfe5ef,06c686227bad4272a3635fb994848338,0,9.55,300,,1,17024387,17036671,1,environment steps per recorded action
experiments/2026-07-19_cartpole_rssm_corrected_seed0_3000,manifest,completed,keep,True,,e62ca3c0cd92687b,CartPole-v1,vector,0,3000,1000,20,episode_reward,2aeaf81d61e4700832718179220188ddf825e3e0,False,6c732fbe462c94ba46baa4418be522676a9d162bb67a13d504390b24e58ef606,04b426254adc4b26905447b7cd7c6985,3000,15.7,3000,max_train_steps,5,85125391,85141061,1,environment steps per recorded action
experiments/2026-07-19_cartpole_rssm_corrected_seed0_actor3500,manifest,completed,keep,True,,2baef67650eaa24a,CartPole-v1,vector,0,3500,100,20,episode_reward,2aeaf81d61e4700832718179220188ddf825e3e0,False,84169aff49dbd81251b9e9400ef38cf0e6b049d5d57abc21af0ee473fed79032,c9b429408ab449ab89d5c5c47feafc2d,3500,208.45,3100,max_train_steps,7,125657465,125670508,1,environment steps per recorded action
experiments/2026-07-19_cartpole_rssm_corrected_seed2_3000,manifest,completed,keep,True,,7d8dd4a2379814ad,CartPole-v1,vector,2,3000,1000,20,episode_reward,2aeaf81d61e4700832718179220188ddf825e3e0,False,2e3bffd4f1f6d5c480ae7d043ca0c6fe894b1ad395834a69df9f23b0e242668e,059f6276ceeb4cb1803cc3efbd3d2ff9,3000,9.4,2000,max_train_steps,5,85125391,85141011,1,environment steps per recorded action
experiments/2026-07-19_cartpole_rssm_corrected_seed2_actor3500,manifest,completed,keep,True,,68e57ef58317acbf,CartPole-v1,vector,2,3500,100,20,episode_reward,2aeaf81d61e4700832718179220188ddf825e3e0,False,241844eb1b21bc195398ad260374835b326ae58135868782dc7a87b9b60a9885,25ce74af6fe54f1cbe95867b0236fd1e,3500,500.0,3300,max_train_steps,7,125657465,125670554,1,environment steps per recorded action
experiments/2026-07-20_cartpole_gradient_alignment_seed0_3500,manifest,completed,keep,True,,336a9dfd7a84db3f,CartPole-v1,vector,0,3500,100,20,episode_reward,20ebf546ffdae5eaa5dd2aa8c0482cdfdec368ea,False,08757993ad6b11898b5ba1d67ed29e0d63a322a2fb6f17dec32efcde1c342e09,3067e0ab16664fc59cd7351925c263c3,3500,421.95,1900,max_train_steps,9,161558299,162072271,1,environment steps per recorded action
experiments/2026-07-20_cartpole_gradient_diagnostic_smoke,manifest,completed,keep,False,source tree was dirty or dirty state is unknown,,CartPole-v1,vector,0,12,0,5,episode_reward,7f447f8d988e4224514669c302b2a6a6aa11eac6,True,d94a1b44621be74c8d3f0041ac108b8c549b92f46368a2e563523d746b9958db,287642c64b6b43f3b683a1023b22c5b2,12,,,max_train_steps,1,5421563,5432333,1,environment steps per recorded action
experiments/2026-07-20_cartpole_joint_window_weighted_no_advnorm_seed0_3500,manifest,completed,keep,True,,0189006afb8f1317,CartPole-v1,vector,0,3500,100,20,episode_reward,05b2d964a2f683920ba8ed40d60761caae517cea,False,1af3a4c312779ada8b2ad0130852ab44006c930898eae4f62d58b43716deeacc,02b9c7004eff4559b9866790a53389d5,3500,500.0,2600,max_train_steps,9,161558299,161716278,1,environment steps per recorded action
experiments/2026-07-20_cartpole_joint_window_weighted_no_advnorm_seed1_3500,manifest,completed,keep,True,,9cba435fb7a5ea4a,CartPole-v1,vector,1,3500,100,20,episode_reward,05b2d964a2f683920ba8ed40d60761caae517cea,False,bfa4c92c4bba8737ad165b12b6f4b774406f537a3f7b8622079f358f4a4314de,7b7694916fe54fd7bb3a97778b0ab1ca,3500,275.25,2800,max_train_steps,9,161558299,161716310,1,environment steps per recorded action
experiments/2026-07-20_cartpole_replay_coverage_seed0_3500,manifest,completed,keep,True,,b02fab1182e5cb86,CartPole-v1,vector,0,3500,100,20,episode_reward,5c02f3b94d2df26aeafc682693269555e3e64037,False,a2e7216e1f82c3ade034cc87c1cde9a8d014fd3e1208b1b4dbdd476fece0c04c,64f4a60775f743ed85f206fce59291ca,3500,500.0,2400,max_train_steps,9,161558299,161825716,1,environment steps per recorded action
experiments/2026-07-20_cartpole_replay_telemetry_smoke,manifest,completed,keep,False,source tree was dirty or dirty state is unknown,,CartPole-v1,vector,0,1,0,5,episode_reward,7f0c7075148289bcc736d0704dcd6cf334450ce7,True,7cb570e832be2a76b313322a242681e3f97d4e72f5761c129a48fe77829e01b6,75b7c15bbacd49ccbea73f7be7323928,1,,,max_train_steps,2,10843498,10854092,1,environment steps per recorded action
experiments/2026-07-20_cartpole_repval_grad_seed0_3500,manifest,completed,keep,True,,07e3192bcd498053,CartPole-v1,vector,0,3500,100,20,episode_reward,c83c93c0c7743c3ed33b3b4148a4a9f66eaf4177,False,d5d4d27838a121e5e5296fc1a8893a0525e6241843555059480607c36489a0ba,5e8f4dc5a71f4358acc95da334fc8a61,3500,500.0,2200,max_train_steps,9,161558299,161783702,1,environment steps per recorded action
experiments/2026-07-20_cartpole_repval_grad_smoke,manifest,completed,keep,False,source tree was dirty or dirty state is unknown,,CartPole-v1,vector,0,1,0,5,episode_reward,53de5e57380d31525d11f7e7136851ac8af4d361,True,d7b366b2b66cf2344675f79ba97e3dfbeca544a167beb9f1fabfc947fea1fa43,675b8556b6234ca1a68633e7a77a8712,1,,,max_train_steps,2,10843498,10854119,1,environment steps per recorded action
experiments/2026-07-20_cartpole_window_weighted_no_advnorm_seed0_3500,manifest,completed,keep,True,,20476b2359df228a,CartPole-v1,vector,0,3500,100,20,episode_reward,b4cd42cbf90b7ff5f8b543cfe840afcd4aab9b44,False,797f00c574705f01c63a872a14451e10dc59faedcf9f311098b64ca2c5595b68,a0d89b6e8c6647be9327baf708cf7bbe,3500,347.05,3500,max_train_steps,9,156004135,156050889,1,environment steps per recorded action
experiments/2026-07-20_cartpole_window_weighted_no_advnorm_seed1_3500,manifest,completed,keep,True,,97583f7d6b0af554,CartPole-v1,vector,1,3500,100,20,episode_reward,b4cd42cbf90b7ff5f8b543cfe840afcd4aab9b44,False,d27e19617202203a83e237126f19f8a12732c2507000a48ab6f1e40a5b51b7ed,72f4352ddaf446ccb06b57aae7e8a398,3500,156.8,3300,max_train_steps,9,156004135,156050406,1,environment steps per recorded action
runs/cartpole_collection_budget_smoke,manifest,completed,keep,False,source tree was dirty or dirty state is unknown,,CartPole-v1,vector,0,20,0,5,episode_reward,0fa59e5e1bc2e6934140577b83940cf2480224ef,True,b4cdc9389773257ca36a492b16c936b5a0e1bdf5438cc465e5177c6d7c7e1ee2,18e81f9e8e3d47e2aa34e8ba243e3cf3,20,,,max_train_steps,1,5421563,5431868,1,environment steps per recorded action
runs/cartpole_critic_warmup_canary_99e543a_seed1_3200,manifest,completed,keep,True,,1a5e6d55f9074e92,CartPole-v1,vector,1,3200,1000,20,episode_reward,99e543a950fee0c750a0047717658c46bcc516ba,False,b955aa05ac44cd6fdf6d233d8a327f7e7791c9032c481d4058c532f57d6d4016,9bbf4b3198424d178d81ce4fbc28c675,3200,9.45,1000,max_train_steps,3,52000073,52499873,1,environment steps per recorded action
runs/cartpole_current_10k_12e748b/seed_0,manifest,interrupted,review,False,run did not record completed lifecycle,,CartPole-v1,vector,0,10000,1000,20,episode_reward,12e748b6eecd1e4db64b210e03ced4cb537ca895,False,e3e7350bedb7f0be10c22126c58e06874cd02c2e442dfcc7049bf91834735869,31356fb0601a4015954778e83a13d099,0,15.95,3000,,2,33788746,33807384,1,environment steps per recorded action
runs/cartpole_current_10k_12e748b/seed_1,manifest,interrupted,review,False,run did not record completed lifecycle,,CartPole-v1,vector,1,10000,1000,20,episode_reward,12e748b6eecd1e4db64b210e03ced4cb537ca895,False,31d3d020ed4487b6e8e1a35186651eba7f189a6466ec999892b43f2aceb3731f,8c1a70a8aa624c6ba8595e3728fca1b1,0,9.5,3000,,1,15837567,15855188,1,environment steps per recorded action
runs/cartpole_current_10k_12e748b/seed_2,manifest,interrupted,review,False,run did not record completed lifecycle,,CartPole-v1,vector,2,10000,1000,20,episode_reward,12e748b6eecd1e4db64b210e03ced4cb537ca895,False,dfee562eaa81761ce6d8298dc3e8974ce7e4f07832d92d5935fe9d5e93f54420,9d2e49e395df4158a178ee081673fe07,0,11.55,3000,,1,15837567,15854166,1,environment steps per recorded action
runs/cartpole_current_10k_12e748b_r2/seed_0,manifest,interrupted,review,False,run did not record completed lifecycle,,CartPole-v1,vector,0,10000,1000,20,episode_reward,12e748b6eecd1e4db64b210e03ced4cb537ca895,False,d6d981026c0186d2596939c079e0bb00326be9211e286b5119b6ca9e62184564,13190b7cf3b348bd80aec406b2692a8c,0,9.3,1000,,2,33788746,33937883,1,environment steps per recorded action
runs/cartpole_current_10k_12e748b_r2/seed_1,manifest,interrupted,review,False,run did not record completed lifecycle,,CartPole-v1,vector,1,10000,1000,20,episode_reward,12e748b6eecd1e4db64b210e03ced4cb537ca895,False,f0f27d12eec444058e6b15674ba10e365f859b6d845bc7c1c75a2dacd413575d,ca7098a15e2c4832be008681a051d9c4,0,18.65,3000,,2,33788746,33951099,1,environment steps per recorded action
runs/cartpole_current_10k_12e748b_r2/seed_2,manifest,interrupted,review,False,run did not record completed lifecycle,,CartPole-v1,vector,2,10000,1000,20,episode_reward,12e748b6eecd1e4db64b210e03ced4cb537ca895,False,5b6cbb1d045f85191b0467256145f8ee47722ce2627af4284c38181856ef4181,a9e67bba9f304ccc919d2978a60a5ea0,0,11.4,2000,,2,33788746,34101962,1,environment steps per recorded action
runs/control_ablation/cartpole_enum_h1_warm3k_5k,legacy,legacy-complete,review,False,legacy run has no versioned manifest; run did not record completed lifecycle; missing Git commit; source tree was dirty or dirty state is unknown,,CartPole-v1,vector,,5000,1000,5,episode_reward,,,6ec8e05876c940e12c90f72e9b2a8cf40f9fc3f84572d656254f992ebf5e51d8,,,,,,1,16493219,16535481,1,environment steps per recorded action
runs/control_ablation/cartpole_enum_h3_temp002_warm3k_5k,legacy,legacy-complete,review,False,legacy run has no versioned manifest; run did not record completed lifecycle; missing Git commit; source tree was dirty or dirty state is unknown,,CartPole-v1,vector,,5000,1000,5,episode_reward,,,66f62749a1957c471c8cebf35f8a2b3aab6c4055f2fe82685ae2116cabb45804,,,,,,1,16493219,16535041,1,environment steps per recorded action
runs/control_ablation/cartpole_enum_h3_warm3k_5k,legacy,legacy-complete,review,False,legacy run has no versioned manifest; run did not record completed lifecycle; missing Git commit; source tree was dirty or dirty state is unknown,,CartPole-v1,vector,,5000,1000,5,episode_reward,,,53bf98ec43009b8d417a80a65ac9eac928b374834cdf32d0225f97f752d489fb,,,,,,1,16493219,16536443,1,environment steps per recorded action
runs/control_ablation/cartpole_priorstate1_survival_enum_h6_temp005_warm3k_5k,legacy,legacy-complete,review,False,legacy run has no versioned manifest; run did not record completed lifecycle; missing Git commit; source tree was dirty or dirty state is unknown,,CartPole-v1,vector,,5000,1000,5,episode_reward,,,945cd45b5eb26b8a01e6371efee3ba7a6c7a80fc910f19cc5819098287eacf5d,,,,,,1,17943287,18024117,1,environment steps per recorded action
runs/control_ablation/cartpole_priorstate1_survival_enum_h6_temp01_warm3k_10k,legacy,legacy-complete,review,False,legacy run has no versioned manifest; run did not record completed lifecycle; missing Git commit; source tree was dirty or dirty state is unknown,,CartPole-v1,vector,,10000,1000,5,episode_reward,,,909eebb1fd230b51a4d73488224f305e8b2776f629822fd340b8ec4d8e30c5fc,,,,,,1,17943415,18028718,1,environment steps per recorded action
runs/control_ablation/cartpole_priorstate1_survival_enum_h6_temp01_warm3k_5k,legacy,legacy-complete,review,False,legacy run has no versioned manifest; run did not record completed lifecycle; missing Git commit; source tree was dirty or dirty state is unknown,,CartPole-v1,vector,,5000,1000,5,episode_reward,,,8492342328c9a12e991efefc22090b791dbd267f149a00e7cdcc7e61a516fdd6,,,,,,1,17943287,18034529,1,environment steps per recorded action
runs/control_ablation/cartpole_priorstate1_warm3k_5k,legacy,legacy-complete,review,False,legacy run has no versioned manifest; run did not record completed lifecycle; missing Git commit; source tree was dirty or dirty state is unknown,,CartPole-v1,vector,,5000,1000,5,episode_reward,,,150f2310914d43946511191b3526134c78c07f75ce91fbb2c9a98435c8f7a1cc,,,,,,1,17943287,18005218,1,environment steps per recorded action
runs/control_ablation/cartpole_qcritic1_priorstate1_warm3k_5k,legacy,legacy-complete,review,False,legacy run has no versioned manifest; run did not record completed lifecycle; missing Git commit; source tree was dirty or dirty state is unknown,,CartPole-v1,vector,,5000,1000,5,episode_reward,,,b9b803089cf6c6f0f2c45c9b15f199e4bdfacee6c573dcfd07928ef162f7c285,,,,,,1,19392779,19457005,1,environment steps per recorded action
runs/control_ablation/cartpole_qcritic1_temp005_warm3k_5k,legacy,legacy-complete,review,False,legacy run has no versioned manifest; run did not record completed lifecycle; missing Git commit; source tree was dirty or dirty state is unknown,,CartPole-v1,vector,,5000,1000,5,episode_reward,,,20a1646562adefb520192071033a34e03bf4c85ca9b8a730fc1acc39ef3c29ba,,,,,,1,19392779,19473544,1,environment steps per recorded action
runs/control_ablation/cartpole_qcritic1_warm3k_5k,legacy,legacy-complete,review,False,legacy run has no versioned manifest; run did not record completed lifecycle; missing Git commit; source tree was dirty or dirty state is unknown,,CartPole-v1,vector,,5000,1000,5,episode_reward,,,ed3b3f56588b963b4a4cb9718219c9717ed9beb932e518db08ed2dbd08fd20e3,,,,,,1,19392779,19469288,1,environment steps per recorded action
runs/control_ablation/cartpole_realreturn1_warm3k_5k,legacy,legacy-complete,review,False,legacy run has no versioned manifest; run did not record completed lifecycle; missing Git commit; source tree was dirty or dirty state is unknown,,CartPole-v1,vector,,5000,1000,5,episode_reward,,,d74654930dac5813fd22d956f95a036bdf3e028d1b216210932ccc3300e647c4,,,,,,1,16493219,16553639,1,environment steps per recorded action
runs/control_ablation/cartpole_replaycritic1_warm3k_5k,legacy,legacy-complete,review,False,legacy run has no versioned manifest; run did not record completed lifecycle; missing Git commit; source tree was dirty or dirty state is unknown,,CartPole-v1,vector,,5000,1000,5,episode_reward,,,ecca3a31d3bc6461f01be8e413ccc8970a89209af02a2feef747b6da95347153,,,,,,1,16493219,16535473,1,environment steps per recorded action
runs/control_ablation/cartpole_survival_enum_h3_warm3k_5k,legacy,legacy-complete,review,False,legacy run has no versioned manifest; run did not record completed lifecycle; missing Git commit; source tree was dirty or dirty state is unknown,,CartPole-v1,vector,,5000,1000,5,episode_reward,,,aa63d7f614a39f3d5bb39c6286a70fb56dc5b50426254355d152cafab2a3e249,,,,,,1,17943287,18035467,1,environment steps per recorded action
runs/control_ablation/cartpole_survival_enum_h6_temp01_warm3k_5k,legacy,legacy-complete,review,False,legacy run has no versioned manifest; run did not record completed lifecycle; missing Git commit; source tree was dirty or dirty state is unknown,,CartPole-v1,vector,,5000,1000,5,episode_reward,,,115914d7376eff2026617fc1fc85c1b164e8dfa6777448e6c8a464f0d6d67c70,,,,,,1,17943287,18029694,1,environment steps per recorded action
runs/control_ablation/cartpole_terminal_penalty5_warm3k_5k,legacy,legacy-complete,review,False,legacy run has no versioned manifest; run did not record completed lifecycle; missing Git commit; source tree was dirty or dirty state is unknown,,CartPole-v1,vector,,5000,1000,5,episode_reward,,,c1fc7e635ab5afa1106ed89e849030d34dc13a52c61803da671ddbe2c9b25a01,,,,,,1,16493219,16537035,1,environment steps per recorded action
runs/free_bits_bench/cartpole_st_normadv_warm3k_b32_h15_5k,legacy,incomplete,incomplete,False,legacy run has no versioned manifest; run did not record completed lifecycle; missing Git commit; source tree was dirty or dirty state is unknown,,CartPole-v1,vector,,5000,1000,5,episode_reward,,,ff6acdb602334225b837e9efc4ba6c5aa50f525f355765196900aaad841aaf8c,,,,,,0,0,35573,1,environment steps per recorded action
runs/free_bits_bench/cartpole_st_normadv_warm3k_h15_5k,legacy,legacy-complete,review,False,legacy run has no versioned manifest; run did not record completed lifecycle; missing Git commit; source tree was dirty or dirty state is unknown,,CartPole-v1,vector,,5000,1000,5,episode_reward,,,af5810acc651627d90b270c8d9f105974da59e5d7638ec8bc633cadf61b588ca,,,,,,1,16493219,16534099,1,environment steps per recorded action
runs/free_bits_bench/easy_bandit_st_normadv_h15_3k,legacy,incomplete,incomplete,False,legacy run has no versioned manifest; run did not record completed lifecycle; missing Git commit; source tree was dirty or dirty state is unknown,,DreamerEasyBandit-v0,vector,,3000,250,10,episode_reward,,,18f9a353410a97db97d20a6dd2901655c89b6b873676631b97957c7e840b05f6,,,,,,0,0,11929,1,environment steps per recorded action
